"","Posicion","Grado","indice_academico","Semestre","Promedio","Sede","Programa"
"906",33,2015,87.465,"2 - 2015",16.186,"Caracas","Ingeniería Hidrometeorológica"
"907",34,2011,87.46,"2 - 2015",16.39,"Caracas","Ingeniería Hidrometeorológica"
"908",35,2015,87.383,"2 - 2015",16.951,"Caracas","Ingeniería Hidrometeorológica"
"909",36,2015,87.38,"2 - 2015",16,"Caracas","Ingeniería Hidrometeorológica"
"910",37,2015,87.345,"2 - 2015",16.171,"Caracas","Ingeniería Hidrometeorológica"
"911",38,2015,87.273,"2 - 2015",17.195,"Caracas","Ingeniería Hidrometeorológica"
"912",39,2015,87.188,"2 - 2015",17.049,"Caracas","Ingeniería Hidrometeorológica"
"913",40,2015,87.188,"2 - 2015",15.279,"Caracas","Ingeniería Hidrometeorológica"
"914",1,2015,96.537,"2 - 2015",18.452,"Caracas","Ingeniería de Petróleo"
"915",2,2015,96.054,"2 - 2015",17.756,"Caracas","Ingeniería de Petróleo"
"916",3,2015,95.613,"2 - 2015",17.415,"Caracas","Ingeniería de Petróleo"
"917",4,2015,95.071,"2 - 2015",17.024,"Caracas","Ingeniería de Petróleo"
"918",5,2015,94.935,"2 - 2015",15.756,"Caracas","Ingeniería de Petróleo"
"919",6,2015,94.408,"2 - 2015",16.585,"Caracas","Ingeniería de Petróleo"
"920",7,2015,94.111,"2 - 2015",16.805,"Caracas","Ingeniería de Petróleo"
"921",8,2015,93.898,"2 - 2015",16.585,"Caracas","Ingeniería de Petróleo"
"922",9,2015,93.857,"2 - 2015",19.138,"Caracas","Ingeniería de Petróleo"
"923",10,2015,93.655,"2 - 2015",17.439,"Caracas","Ingeniería de Petróleo"
"924",11,2015,93.565,"2 - 2015",17.366,"Caracas","Ingeniería de Petróleo"
"925",12,2015,93.556,"2 - 2015",16.463,"Caracas","Ingeniería de Petróleo"
"926",13,2014,93.446,"2 - 2015",17.244,"Caracas","Ingeniería de Petróleo"
"927",14,2015,93.065,"2 - 2015",17.073,"Caracas","Ingeniería de Petróleo"
"928",15,2014,93.004,"2 - 2015",17.78,"Caracas","Ingeniería de Petróleo"
"929",16,2015,92.898,"2 - 2015",19.098,"Caracas","Ingeniería de Petróleo"
"930",17,2015,92.814,"2 - 2015",16.122,"Caracas","Ingeniería de Petróleo"
"931",18,2015,92.804,"2 - 2015",18.439,"Caracas","Ingeniería de Petróleo"
"932",19,2015,92.418,"2 - 2015",16.512,"Caracas","Ingeniería de Petróleo"
"933",20,2014,92.338,"2 - 2015",18.22,"Caracas","Ingeniería de Petróleo"
"934",21,2015,92.3,"2 - 2015",18.098,"Caracas","Ingeniería de Petróleo"
"935",22,2015,92.213,"2 - 2015",18.024,"Caracas","Ingeniería de Petróleo"
"936",23,2015,92.188,"2 - 2015",19.39,"Caracas","Ingeniería de Petróleo"
"937",24,2015,92.143,"2 - 2015",16.146,"Caracas","Ingeniería de Petróleo"
"938",25,2015,92.08,"2 - 2015",16.61,"Caracas","Ingeniería de Petróleo"
"939",26,2015,92.067,"2 - 2015",17.619,"Caracas","Ingeniería de Petróleo"
"940",27,2015,92.062,"2 - 2015",17,"Caracas","Ingeniería de Petróleo"
"941",28,2013,92.029,"2 - 2015",16.171,"Caracas","Ingeniería de Petróleo"
"942",29,2014,91.998,"2 - 2015",17.732,"Caracas","Ingeniería de Petróleo"
"943",30,2015,91.989,"2 - 2015",17.098,"Caracas","Ingeniería de Petróleo"
"944",31,2015,91.876,"2 - 2015",17.707,"Caracas","Ingeniería de Petróleo"
"945",32,2015,91.764,"2 - 2015",18.854,"Caracas","Ingeniería de Petróleo"
"946",33,2015,91.726,"2 - 2015",15.488,"Caracas","Ingeniería de Petróleo"
"947",34,2015,91.669,"2 - 2015",16.756,"Caracas","Ingeniería de Petróleo"
"948",35,2015,91.627,"2 - 2015",16.907,"Caracas","Ingeniería de Petróleo"
"949",36,2015,91.608,"2 - 2015",16.61,"Caracas","Ingeniería de Petróleo"
"950",37,2015,91.603,"2 - 2015",17.341,"Caracas","Ingeniería de Petróleo"
"951",38,2015,91.599,"2 - 2015",16,"Caracas","Ingeniería de Petróleo"
"952",39,2015,91.466,"2 - 2015",18.488,"Caracas","Ingeniería de Petróleo"
"953",40,2015,91.368,"2 - 2015",18.171,"Caracas","Ingeniería de Petróleo"
"954",41,2013,91.337,"2 - 2015",18.049,"Caracas","Ingeniería de Petróleo"
"955",42,2015,91.33,"2 - 2015",16.22,"Caracas","Ingeniería de Petróleo"
"956",43,2015,91.288,"2 - 2015",16.634,"Caracas","Ingeniería de Petróleo"
"957",44,2015,91.24,"2 - 2015",17.805,"Caracas","Ingeniería de Petróleo"
"958",45,2015,91.227,"2 - 2015",16.976,"Caracas","Ingeniería de Petróleo"
"959",46,2013,91.175,"2 - 2015",17.969,"Caracas","Ingeniería de Petróleo"
"960",47,2015,91.16,"2 - 2015",15.854,"Caracas","Ingeniería de Petróleo"
"961",48,2012,91.039,"2 - 2015",16.619,"Caracas","Ingeniería de Petróleo"
"962",49,2015,91.014,"2 - 2015",16.854,"Caracas","Ingeniería de Petróleo"
"963",50,2015,90.968,"2 - 2015",17.707,"Caracas","Ingeniería de Petróleo"
"964",51,2015,90.953,"2 - 2015",15.78,"Caracas","Ingeniería de Petróleo"
"965",52,2015,90.932,"2 - 2015",19.293,"Caracas","Ingeniería de Petróleo"
"966",53,2014,90.873,"2 - 2015",17.175,"Caracas","Ingeniería de Petróleo"
"967",54,2015,90.833,"2 - 2015",18.951,"Caracas","Ingeniería de Petróleo"
"968",55,2015,90.761,"2 - 2015",15.195,"Caracas","Ingeniería de Petróleo"
"969",56,2015,90.643,"2 - 2015",16.463,"Caracas","Ingeniería de Petróleo"
"970",57,2015,90.642,"2 - 2015",17.537,"Caracas","Ingeniería de Petróleo"
"971",58,2015,90.63,"2 - 2015",18.561,"Caracas","Ingeniería de Petróleo"
"972",59,2015,90.622,"2 - 2015",18.512,"Caracas","Ingeniería de Petróleo"
"973",60,2015,90.607,"2 - 2015",16.366,"Caracas","Ingeniería de Petróleo"
"974",61,2015,90.587,"2 - 2015",18.048,"Caracas","Ingeniería de Petróleo"
"975",62,2015,90.496,"2 - 2015",16.927,"Caracas","Ingeniería de Petróleo"
"976",63,2011,90.475,"2 - 2015",17.414,"Caracas","Ingeniería de Petróleo"
"977",64,2015,90.452,"2 - 2015",16.122,"Caracas","Ingeniería de Petróleo"
"978",65,2015,90.413,"2 - 2015",18.268,"Caracas","Ingeniería de Petróleo"
"979",66,2015,90.397,"2 - 2015",16.244,"Caracas","Ingeniería de Petróleo"
"980",67,2015,90.384,"2 - 2015",16.707,"Caracas","Ingeniería de Petróleo"
"981",68,2014,90.36,"2 - 2015",16.683,"Caracas","Ingeniería de Petróleo"
"982",69,2015,90.318,"2 - 2015",18.195,"Caracas","Ingeniería de Petróleo"
"983",70,2015,90.317,"2 - 2015",16.171,"Caracas","Ingeniería de Petróleo"
"984",71,2015,90.315,"2 - 2015",16.488,"Caracas","Ingeniería de Petróleo"
"985",72,2015,90.314,"2 - 2015",16.951,"Caracas","Ingeniería de Petróleo"
"986",73,2015,90.283,"2 - 2015",17.024,"Caracas","Ingeniería de Petróleo"
"987",74,2014,90.277,"2 - 2015",17.732,"Caracas","Ingeniería de Petróleo"
"988",75,2015,90.277,"2 - 2015",16.244,"Caracas","Ingeniería de Petróleo"
"989",76,2012,90.267,"2 - 2015",17.878,"Caracas","Ingeniería de Petróleo"
"990",77,2015,90.226,"2 - 2015",18.098,"Caracas","Ingeniería de Petróleo"
"991",78,2015,90.182,"2 - 2015",16.634,"Caracas","Ingeniería de Petróleo"
"992",79,2015,90.167,"2 - 2015",17.878,"Caracas","Ingeniería de Petróleo"
"993",80,2014,90.132,"2 - 2015",14.837,"Caracas","Ingeniería de Petróleo"
"994",81,2015,90.016,"2 - 2015",16.829,"Caracas","Ingeniería de Petróleo"
"995",82,2015,89.96,"2 - 2015",15.585,"Caracas","Ingeniería de Petróleo"
"996",83,2015,89.944,"2 - 2015",18.732,"Caracas","Ingeniería de Petróleo"
"997",84,2015,89.94,"2 - 2015",16.341,"Caracas","Ingeniería de Petróleo"
"998",85,2015,89.914,"2 - 2015",14.878,"Caracas","Ingeniería de Petróleo"
"999",86,2015,89.898,"2 - 2015",17.756,"Caracas","Ingeniería de Petróleo"
"1000",87,2015,89.854,"2 - 2015",19.073,"Caracas","Ingeniería de Petróleo"
"1001",88,2015,89.824,"2 - 2015",17.512,"Caracas","Ingeniería de Petróleo"
"1002",1,2014,97.825,"2 - 2015",19.049,"Caracas","Computación"
"1003",2,2015,94.394,"2 - 2015",16.537,"Caracas","Computación"
"1004",3,2015,94.23,"2 - 2015",16.61,"Caracas","Computación"
"1005",4,2012,93.99,"2 - 2015",16.929,"Caracas","Computación"
"1006",5,2015,93.506,"2 - 2015",17.488,"Caracas","Computación"
"1007",6,2015,93.392,"2 - 2015",15.878,"Caracas","Computación"
"1008",7,2015,93.232,"2 - 2015",16.512,"Caracas","Computación"
"1009",8,2015,93.222,"2 - 2015",17.878,"Caracas","Computación"
"1010",9,2015,93.083,"2 - 2015",16.524,"Caracas","Computación"
"1011",10,2015,92.771,"2 - 2015",16.195,"Caracas","Computación"
"1012",11,2015,92.664,"2 - 2015",17.415,"Caracas","Computación"
"1013",12,2015,92.629,"2 - 2015",16.793,"Caracas","Computación"
"1014",13,2015,92.347,"2 - 2015",18.024,"Caracas","Computación"
"1015",14,2015,92.316,"2 - 2015",18.146,"Caracas","Computación"
"1016",15,2015,92.281,"2 - 2015",16.463,"Caracas","Computación"
"1017",16,2012,92.188,"2 - 2015",18.023,"Caracas","Computación"
"1018",17,2015,91.941,"2 - 2015",17.725,"Caracas","Computación"
"1019",18,2015,91.874,"2 - 2015",19.122,"Caracas","Computación"
"1020",19,2015,91.402,"2 - 2015",16.634,"Caracas","Computación"
"1021",20,2009,91.396,"2 - 2015",18,"Caracas","Computación"
"1022",21,2015,91.394,"2 - 2015",16.683,"Caracas","Computación"
"1023",22,2014,91.367,"2 - 2015",17.22,"Caracas","Computación"
"1024",23,2015,91.336,"2 - 2015",18.366,"Caracas","Computación"
"1025",24,2015,91.298,"2 - 2015",15.488,"Caracas","Computación"
"1026",25,2015,91.129,"2 - 2015",17.634,"Caracas","Computación"
"1027",26,2015,91.128,"2 - 2015",16.048,"Caracas","Computación"
"1028",27,2015,91.109,"2 - 2015",16.146,"Caracas","Computación"
"1029",28,2015,90.931,"2 - 2015",16.61,"Caracas","Computación"
"1030",29,2015,90.89,"2 - 2015",16.756,"Caracas","Computación"
"1031",30,2015,90.85,"2 - 2015",17.488,"Caracas","Computación"
"1032",31,2015,90.835,"2 - 2015",17.512,"Caracas","Computación"
"1033",32,2015,90.779,"2 - 2015",18.897,"Caracas","Computación"
"1034",33,2015,90.653,"2 - 2015",16.293,"Caracas","Computación"
"1035",34,2015,90.641,"2 - 2015",16.268,"Caracas","Computación"
"1036",35,2015,90.581,"2 - 2015",18.512,"Caracas","Computación"
"1037",36,2015,90.581,"2 - 2015",15.714,"Caracas","Computación"
"1038",37,2015,90.536,"2 - 2015",18.444,"Caracas","Computación"
"1039",38,2015,90.431,"2 - 2015",15.78,"Caracas","Computación"
"1040",39,2014,90.312,"2 - 2015",16.659,"Caracas","Computación"
"1041",40,2012,90.276,"2 - 2015",18.024,"Caracas","Computación"
"1042",41,2015,90.267,"2 - 2015",15.048,"Caracas","Computación"
"1043",42,2013,90.126,"2 - 2015",17.951,"Caracas","Computación"
"1044",43,2015,90.124,"2 - 2015",17.146,"Caracas","Computación"
"1045",44,2015,90.054,"2 - 2015",16.429,"Caracas","Computación"
"1046",45,2008,90.051,"2 - 2015",17,"Caracas","Computación"
"1047",46,2015,89.988,"2 - 2015",17.093,"Caracas","Computación"
"1048",47,2015,89.883,"2 - 2015",15.902,"Caracas","Computación"
"1049",48,2015,89.63,"2 - 2015",17.552,"Caracas","Computación"
"1050",49,2015,89.605,"2 - 2015",15.073,"Caracas","Computación"
"1051",50,2015,89.535,"2 - 2015",16.634,"Caracas","Computación"
"1052",51,2015,89.523,"2 - 2015",16.659,"Caracas","Computación"
"1053",52,2015,89.521,"2 - 2015",15.39,"Caracas","Computación"
"1054",53,2015,89.498,"2 - 2015",16.171,"Caracas","Computación"
"1055",54,2015,89.426,"2 - 2015",16.561,"Caracas","Computación"
"1056",55,2014,89.414,"2 - 2015",18.244,"Caracas","Computación"
"1057",56,2015,89.288,"2 - 2015",15.61,"Caracas","Computación"
"1058",57,2015,89.261,"2 - 2015",16.512,"Caracas","Computación"
"1059",58,2013,89.192,"2 - 2015",15.429,"Caracas","Computación"
"1060",59,2013,89.17,"2 - 2015",17.146,"Caracas","Computación"
"1061",60,2015,89.088,"2 - 2015",15.732,"Caracas","Computación"
"1062",61,2015,89.019,"2 - 2015",16.756,"Caracas","Computación"
"1063",62,2013,88.953,"2 - 2015",17.862,"Caracas","Computación"
"1064",63,2015,88.949,"2 - 2015",17.098,"Caracas","Computación"
"1065",64,2009,88.937,"2 - 2015",16.537,"Caracas","Computación"
"1066",65,2015,88.909,"2 - 2015",18.634,"Caracas","Computación"
"1067",66,2015,88.867,"2 - 2015",16.073,"Caracas","Computación"
"1068",67,2015,88.86,"2 - 2015",15.862,"Caracas","Computación"
"1069",68,2015,88.839,"2 - 2015",15.537,"Caracas","Computación"
"1070",69,2015,88.81,"2 - 2015",15.244,"Caracas","Computación"
"1071",70,2015,88.763,"2 - 2015",16.805,"Caracas","Computación"
"1072",71,2012,88.744,"2 - 2015",16.585,"Caracas","Computación"
"1073",72,2015,88.743,"2 - 2015",18.805,"Caracas","Computación"
"1074",73,2013,88.733,"2 - 2015",16.293,"Caracas","Computación"
"1075",74,2014,88.714,"2 - 2015",17.39,"Caracas","Computación"
"1076",75,2015,88.714,"2 - 2015",16.366,"Caracas","Computación"
"1077",76,2012,88.678,"2 - 2015",18.707,"Caracas","Computación"
"1078",77,2015,88.671,"2 - 2015",15.675,"Caracas","Computación"
"1079",78,2015,88.599,"2 - 2015",15.415,"Caracas","Computación"
"1080",79,2015,88.582,"2 - 2015",14.379,"Caracas","Computación"
"1081",80,2012,88.547,"2 - 2015",18.463,"Caracas","Computación"
"1082",81,2015,88.544,"2 - 2015",16.762,"Caracas","Computación"
"1083",82,2009,88.537,"2 - 2015",16.071,"Caracas","Computación"
"1084",83,2015,88.518,"2 - 2015",15.098,"Caracas","Computación"
"1085",84,2015,88.487,"2 - 2015",18.516,"Caracas","Computación"
"1086",85,2015,88.485,"2 - 2015",17.951,"Caracas","Computación"
"1087",86,2015,88.46,"2 - 2015",18.244,"Caracas","Computación"
"1088",87,2015,88.452,"2 - 2015",17.275,"Caracas","Computación"
"1089",88,2015,88.398,"2 - 2015",17.275,"Caracas","Computación"
"1090",89,2015,88.392,"2 - 2015",16.195,"Caracas","Computación"
"1091",90,2015,88.221,"2 - 2015",17.317,"Caracas","Computación"
"1092",91,2015,88.199,"2 - 2015",17.317,"Caracas","Computación"
"1093",92,2015,88.192,"2 - 2015",15.756,"Caracas","Computación"
"1094",9,2014,88.085,"2 - 2015",15.095,"Caracas","Computación"
"1095",9,2015,88.066,"2 - 2015",17.585,"Caracas","Computación"
"1096",9,2015,87.963,"2 - 2015",17.951,"Caracas","Computación"
"1097",9,2015,87.96,"2 - 2015",19.488,"Caracas","Computación"
"1098",9,2014,87.94,"2 - 2015",14.732,"Caracas","Computación"
"1099",9,2015,87.929,"2 - 2015",16.878,"Caracas","Computación"
"1100",9,2014,87.924,"2 - 2015",19.268,"Caracas","Computación"
"1101",10,2008,87.916,"2 - 2015",16.951,"Caracas","Computación"
"1102",10,2015,87.9,"2 - 2015",15.976,"Caracas","Computación"
"1103",10,2015,87.878,"2 - 2015",15.833,"Caracas","Computación"
"1104",10,2015,87.874,"2 - 2015",19.146,"Caracas","Computación"
"1105",10,2014,87.862,"2 - 2015",16.415,"Caracas","Computación"
"1106",10,2015,87.814,"2 - 2015",18.902,"Caracas","Computación"
"1107",10,2015,87.803,"2 - 2015",18.683,"Caracas","Computación"
"1108",10,2015,87.673,"2 - 2015",16.293,"Caracas","Computación"
"1109",10,2015,87.671,"2 - 2015",18.244,"Caracas","Computación"
"1110",10,2014,87.668,"2 - 2015",18.628,"Caracas","Computación"
"1111",11,2015,87.625,"2 - 2015",18.561,"Caracas","Computación"
"1112",11,2015,87.623,"2 - 2015",16.634,"Caracas","Computación"
"1113",11,2014,87.57,"2 - 2015",14.512,"Caracas","Computación"
"1114",11,2015,87.559,"2 - 2015",18.293,"Caracas","Computación"
"1115",11,2015,87.559,"2 - 2015",17.39,"Caracas","Computación"
"1116",11,2015,87.558,"2 - 2015",16.683,"Caracas","Computación"
"1117",11,2015,87.543,"2 - 2015",15.39,"Caracas","Computación"
"1118",11,2015,87.538,"2 - 2015",16.171,"Caracas","Computación"
"1119",11,2015,87.526,"2 - 2015",16.537,"Caracas","Computación"
"1120",11,2015,87.484,"2 - 2015",15.488,"Caracas","Computación"
"1121",12,2011,87.472,"2 - 2015",15.39,"Caracas","Computación"
"1122",12,2015,87.468,"2 - 2015",14.902,"Caracas","Computación"
"1123",12,2007,87.441,"2 - 2015",18.333,"Caracas","Computación"
"1124",12,2015,87.41,"2 - 2015",15.732,"Caracas","Computación"
"1125",12,2015,87.408,"2 - 2015",18.39,"Caracas","Computación"
"1126",12,2014,87.379,"2 - 2015",18.122,"Caracas","Computación"
"1127",12,2015,87.369,"2 - 2015",17.293,"Caracas","Computación"
"1128",12,2015,87.368,"2 - 2015",18.024,"Caracas","Computación"
"1129",12,2012,87.324,"2 - 2015",16.9,"Caracas","Computación"
"1130",12,2015,87.313,"2 - 2015",18.171,"Caracas","Computación"
"1131",13,2015,87.307,"2 - 2015",18.073,"Caracas","Computación"
"1132",13,2015,87.286,"2 - 2015",18.146,"Caracas","Computación"
"1133",13,2012,87.283,"2 - 2015",16.098,"Caracas","Computación"
"1134",13,2015,87.272,"2 - 2015",17.244,"Caracas","Computación"
"1135",13,2015,87.266,"2 - 2015",13.879,"Caracas","Computación"
"1136",13,2015,87.24,"2 - 2015",16.415,"Caracas","Computación"
"1137",13,2015,87.239,"2 - 2015",16.61,"Caracas","Computación"
"1138",13,2015,87.217,"2 - 2015",15.878,"Caracas","Computación"
"1139",13,2015,87.167,"2 - 2015",15.659,"Caracas","Computación"
"1140",13,2012,87.164,"2 - 2015",15.146,"Caracas","Computación"
"1141",14,2012,87.136,"2 - 2015",15.2,"Caracas","Computación"
"1142",14,2015,87.111,"2 - 2015",17.098,"Caracas","Computación"
"1143",14,2015,87.078,"2 - 2015",16.512,"Caracas","Computación"
"1144",14,2014,87.046,"2 - 2015",14.927,"Caracas","Computación"
"1145",14,2015,87.036,"2 - 2015",14.927,"Caracas","Computación"
"1146",14,2014,87.021,"2 - 2015",14.69,"Caracas","Computación"
"1147",14,2015,87.009,"2 - 2015",16.024,"Caracas","Computación"
"1148",14,2010,86.998,"2 - 2015",17.854,"Caracas","Computación"
"1149",14,2015,86.936,"2 - 2015",19.366,"Caracas","Computación"
"1150",14,2015,86.931,"2 - 2015",16.366,"Caracas","Computación"
"1151",15,2015,86.927,"2 - 2015",17.683,"Caracas","Computación"
"1152",15,2015,86.921,"2 - 2015",18.683,"Caracas","Computación"
"1153",15,2015,86.89,"2 - 2015",15.425,"Caracas","Computación"
"1154",15,2015,86.869,"2 - 2015",14.854,"Caracas","Computación"
"1155",15,2015,86.857,"2 - 2015",15.55,"Caracas","Computación"
"1156",15,2015,86.849,"2 - 2015",16.902,"Caracas","Computación"
"1157",15,2015,86.844,"2 - 2015",15.122,"Caracas","Computación"
"1158",15,2015,86.838,"2 - 2015",14.341,"Caracas","Computación"
"1159",15,2015,86.812,"2 - 2015",15.268,"Caracas","Computación"
"1160",15,2015,86.798,"2 - 2015",16.78,"Caracas","Computación"
"1161",16,2015,86.786,"2 - 2015",15.634,"Caracas","Computación"
"1162",16,2015,86.773,"2 - 2015",15.829,"Caracas","Computación"
"1163",16,2015,86.768,"2 - 2015",16.073,"Caracas","Computación"
"1164",16,2015,86.763,"2 - 2015",18.951,"Caracas","Computación"
"1165",16,2015,86.746,"2 - 2015",18.829,"Caracas","Computación"
"1166",16,2015,86.727,"2 - 2015",14.273,"Caracas","Computación"
"1167",16,2014,86.704,"2 - 2015",15.073,"Caracas","Computación"
"1168",16,2015,86.696,"2 - 2015",17.634,"Caracas","Computación"
"1169",16,2015,86.678,"2 - 2015",14.634,"Caracas","Computación"
"1170",16,2015,86.666,"2 - 2015",15.293,"Caracas","Computación"
"1171",17,2012,86.64,"2 - 2015",14.483,"Caracas","Computación"
"1172",17,2013,86.554,"2 - 2015",13.976,"Caracas","Computación"
"1173",17,2015,86.494,"2 - 2015",17.049,"Caracas","Computación"
"1174",17,2013,86.491,"2 - 2015",15.744,"Caracas","Computación"
"1175",17,2015,86.471,"2 - 2015",16.366,"Caracas","Computación"
"1176",17,1982,86.454,"2 - 2015",15.158,"Caracas","Computación"
"1177",17,2007,86.432,"2 - 2015",14.683,"Caracas","Computación"
"1178",17,2012,86.35,"2 - 2015",15.854,"Caracas","Computación"
"1179",17,2015,86.343,"2 - 2015",16.875,"Caracas","Computación"
"1180",17,2015,86.339,"2 - 2015",17.95,"Caracas","Computación"
"1181",18,2015,86.264,"2 - 2015",17.326,"Caracas","Computación"
"1182",1,2015,93.576,"2 - 2015",16.659,"Caracas","Ingeniería Eléctrica"
"1183",2,2015,93.516,"2 - 2015",18.293,"Caracas","Ingeniería Eléctrica"
"1184",3,2015,92.695,"2 - 2015",16.902,"Caracas","Ingeniería Eléctrica"
"1185",4,2015,92.175,"2 - 2015",16.951,"Caracas","Ingeniería Eléctrica"
"1186",5,2015,92.137,"2 - 2015",17.561,"Caracas","Ingeniería Eléctrica"
"1187",6,2015,91.981,"2 - 2015",17.034,"Caracas","Ingeniería Eléctrica"
"1188",7,2015,91.662,"2 - 2015",18.22,"Caracas","Ingeniería Eléctrica"
"1189",8,2015,90.946,"2 - 2015",16.976,"Caracas","Ingeniería Eléctrica"
"1190",9,2015,90.49,"2 - 2015",17.878,"Caracas","Ingeniería Eléctrica"
"1191",10,2015,90.448,"2 - 2015",16.659,"Caracas","Ingeniería Eléctrica"
"1192",11,2015,90.349,"2 - 2015",17.122,"Caracas","Ingeniería Eléctrica"
"1193",12,2015,90.17,"2 - 2015",16.146,"Caracas","Ingeniería Eléctrica"
"1194",13,2015,89.992,"2 - 2015",17.581,"Caracas","Ingeniería Eléctrica"
"1195",14,2015,89.863,"2 - 2015",18.561,"Caracas","Ingeniería Eléctrica"
"1196",15,2012,89.574,"2 - 2015",17.366,"Caracas","Ingeniería Eléctrica"
"1197",16,2009,89.569,"2 - 2015",18.172,"Caracas","Ingeniería Eléctrica"
"1198",17,2013,89.561,"2 - 2015",17.049,"Caracas","Ingeniería Eléctrica"
"1199",18,2014,89.554,"2 - 2015",16.621,"Caracas","Ingeniería Eléctrica"
"1200",19,2008,89.428,"2 - 2015",18.488,"Caracas","Ingeniería Eléctrica"
"1201",20,2015,89.36,"2 - 2015",17.293,"Caracas","Ingeniería Eléctrica"
"1202",21,2015,89.307,"2 - 2015",17.244,"Caracas","Ingeniería Eléctrica"
"1203",22,2015,88.972,"2 - 2015",19.61,"Caracas","Ingeniería Eléctrica"
"1204",23,2015,88.809,"2 - 2015",15.073,"Caracas","Ingeniería Eléctrica"
"1205",24,2015,88.762,"2 - 2015",15.829,"Caracas","Ingeniería Eléctrica"
"1206",25,2015,88.75,"2 - 2015",15.146,"Caracas","Ingeniería Eléctrica"
"1207",26,2015,88.615,"2 - 2015",17.439,"Caracas","Ingeniería Eléctrica"
"1208",27,2015,88.557,"2 - 2015",18.171,"Caracas","Ingeniería Eléctrica"
"1209",28,2015,88.528,"2 - 2015",18.366,"Caracas","Ingeniería Eléctrica"
"1210",29,2015,88.436,"2 - 2015",15.927,"Caracas","Ingeniería Eléctrica"
"1211",30,2015,88.392,"2 - 2015",16.207,"Caracas","Ingeniería Eléctrica"
"1212",31,2015,88.384,"2 - 2015",18,"Caracas","Ingeniería Eléctrica"
"1213",32,2015,88.314,"2 - 2015",17.878,"Caracas","Ingeniería Eléctrica"
"1214",33,2015,88.293,"2 - 2015",16,"Caracas","Ingeniería Eléctrica"
"1215",34,2015,87.945,"2 - 2015",17.805,"Caracas","Ingeniería Eléctrica"
"1216",35,2015,87.907,"2 - 2015",16.976,"Caracas","Ingeniería Eléctrica"
"1217",36,2015,87.888,"2 - 2015",16.341,"Caracas","Ingeniería Eléctrica"
"1218",37,2015,87.749,"2 - 2015",16.854,"Caracas","Ingeniería Eléctrica"
"1219",38,2015,87.722,"2 - 2015",16.756,"Caracas","Ingeniería Eléctrica"
"1220",39,2015,87.719,"2 - 2015",18.732,"Caracas","Ingeniería Eléctrica"
"1221",40,2015,87.707,"2 - 2015",16.805,"Caracas","Ingeniería Eléctrica"
"1222",41,2014,87.697,"2 - 2015",17.366,"Caracas","Ingeniería Eléctrica"
"1223",42,2015,87.684,"2 - 2015",15.927,"Caracas","Ingeniería Eléctrica"
"1224",43,2015,87.666,"2 - 2015",16.878,"Caracas","Ingeniería Eléctrica"
"1225",44,2015,87.637,"2 - 2015",15.341,"Caracas","Ingeniería Eléctrica"
"1226",45,2015,87.598,"2 - 2015",18.548,"Caracas","Ingeniería Eléctrica"
"1227",46,2015,87.569,"2 - 2015",16.146,"Caracas","Ingeniería Eléctrica"
"1228",47,2015,87.478,"2 - 2015",18.341,"Caracas","Ingeniería Eléctrica"
"1229",48,2015,87.45,"2 - 2015",15.195,"Caracas","Ingeniería Eléctrica"
"1230",49,2015,87.438,"2 - 2015",17.951,"Caracas","Ingeniería Eléctrica"
"1231",50,2015,87.421,"2 - 2015",18.073,"Caracas","Ingeniería Eléctrica"
"1232",51,2015,87.41,"2 - 2015",17.293,"Caracas","Ingeniería Eléctrica"
"1233",52,2015,87.41,"2 - 2015",16.341,"Caracas","Ingeniería Eléctrica"
"1234",53,2015,87.372,"2 - 2015",15.634,"Caracas","Ingeniería Eléctrica"
"1235",54,2015,87.281,"2 - 2015",14.902,"Caracas","Ingeniería Eléctrica"
"1236",55,2012,87.271,"2 - 2015",17.634,"Caracas","Ingeniería Eléctrica"
"1237",56,2015,87.227,"2 - 2015",15.683,"Caracas","Ingeniería Eléctrica"
"1238",57,2015,87.22,"2 - 2015",19.537,"Caracas","Ingeniería Eléctrica"
"1239",58,2012,87.186,"2 - 2015",16.195,"Caracas","Ingeniería Eléctrica"
"1240",59,2015,87.153,"2 - 2015",15.698,"Caracas","Ingeniería Eléctrica"
"1241",60,2015,87.051,"2 - 2015",17.125,"Caracas","Ingeniería Eléctrica"
"1242",61,2011,87.027,"2 - 2015",16.122,"Caracas","Ingeniería Eléctrica"
"1243",62,2015,86.875,"2 - 2015",15.829,"Caracas","Ingeniería Eléctrica"
"1244",63,2015,86.824,"2 - 2015",16.146,"Caracas","Ingeniería Eléctrica"
"1245",64,2011,86.809,"2 - 2015",17.585,"Caracas","Ingeniería Eléctrica"
"1246",65,2015,86.795,"2 - 2015",14.951,"Caracas","Ingeniería Eléctrica"
"1247",66,2013,86.77,"2 - 2015",17.634,"Caracas","Ingeniería Eléctrica"
"1248",67,2015,86.744,"2 - 2015",16.683,"Caracas","Ingeniería Eléctrica"
"1249",68,2015,86.662,"2 - 2015",16.78,"Caracas","Ingeniería Eléctrica"
"1250",69,2013,86.654,"2 - 2015",14.902,"Caracas","Ingeniería Eléctrica"
"1251",70,2015,86.632,"2 - 2015",16.366,"Caracas","Ingeniería Eléctrica"
"1252",71,2015,86.615,"2 - 2015",15.976,"Caracas","Ingeniería Eléctrica"
"1253",72,2015,86.609,"2 - 2015",16.805,"Caracas","Ingeniería Eléctrica"
